customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8158-IICSP,Male,0,No,Yes,28,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),79.43,2232.68,Yes
3255-CTXVX,Male,0,No,No,72,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.84,3224.61,No
2648-HDFHT,Female,0,No,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.56,825.08,No
9445-CPYCY,Male,0,No,No,6,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),61.95,325.43,Yes
3961-NRBVC,Female,0,No,No,14,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),87.45,1212.82,Yes
1956-IDADA,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,25.0,1820.58,No
5493-UPTXH,Male,0,No,No,14,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,56.1,773.81,No
2218-QAPLS,Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),63.77,4591.62,No
4446-VNFFM,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),96.31,671.43,Yes
9754-VHBUA,Male,0,No,Yes,25,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),63.3,1579.02,No
8022-AEPSD,Female,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),25.96,1091.52,No
5642-QQLNU,Male,0,No,Yes,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),88.94,450.93,No
2060-XQNUC,Male,0,Yes,Yes,48,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),57.43,2749.35,No
1699-ATUWA,Female,1,Yes,No,34,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,80.73,2720.1,No
4327-CRYJV,Female,0,No,No,61,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),89.59,5437.66,No
1569-CHNXR,Male,0,No,No,18,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),65.29,1196.31,No
8455-OVWBJ,Female,0,Yes,No,39,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,52.38,2066.65,No
2409-ZQHAI,Male,0,No,No,31,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,79.67,2460.49,No
8343-GJWZC,Female,0,No,No,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),88.03,6314.92,Yes
2841-YXMZG,Male,1,Yes,Yes,30,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),50.92,1547.69,Yes
8992-DMTAH,Male,0,No,No,28,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,81.42,2299.07,No
7655-NPNLS,Female,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),107.88,1303.12,No
7614-OBBWV,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,102.41,7377.68,No
5146-YZVZZ,Female,0,No,No,41,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,79.4,3233.57,No
8509-QTJFO,Male,0,Yes,No,11,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,71.17,787.11,No
3491-EAHUL,Male,0,No,No,67,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),51.1,3372.19,No
1004-GDFMT,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),91.03,88.71,No
5142-CWHTP,Female,1,Yes,No,34,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),48.26,1664.64,Yes
5465-JSQXS,Male,0,Yes,Yes,14,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,102.66,1471.57,No
6177-WZEZU,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Mailed check,80.98,5845.03,No
6949-WILUA,Female,0,No,No,40,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,90.05,3595.79,Yes
2081-ZAOBV,Male,0,No,No,10,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),54.62,551.7,Yes
1559-YHMUA,Female,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,26.3,337.84,No
4343-GEVWC,Male,0,Yes,Yes,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,542.95,No
4147-ZPSEV,Male,0,Yes,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),29.2,1181.12,No
3744-NEOQN,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,1398.73,No
7617-PUGDA,Female,0,Yes,No,16,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),59.21,931.7,Yes
8421-EWZJV,Female,1,No,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,69.72,1830.99,No
3849-TJZSZ,Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,86.06,2048.55,No
5611-PXPWB,Male,0,No,No,29,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,87.59,2495.67,Yes
7303-TXLRC,Male,0,Yes,Yes,50,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,88.22,4403.83,Yes
3427-AASKE,Female,0,No,No,22,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,73.89,1645.44,Yes
6387-CAAHJ,Male,0,No,Yes,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.3,677.81,No
2066-LMLNB,Male,0,No,No,39,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,75.11,2947.37,No
9945-CWQZH,Male,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.34,514.48,Yes
7748-ZJZBS,Female,0,Yes,No,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),81.44,639.3,Yes
9808-GDZUR,Male,0,No,Yes,6,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,80.64,469.68,No
1412-XDYUY,Female,0,No,Yes,25,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,87.01,2190.61,No
9867-JEIXC,Female,0,Yes,No,72,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),93.91,6739.68,No
2122-PDRQG,Male,0,No,No,43,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),46.73,2035.03,No
3143-XWELQ,Male,0,No,No,72,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.01,7154.79,No
4766-MWYCI,Male,0,No,Yes,46,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),101.57,4718.37,No
6917-QQTPY,Female,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,95.72,2467.07,Yes
2365-MSQDL,Female,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),61.18,596.6,No
8400-SLIGN,Female,0,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),91.51,1415.41,Yes
3782-TSZOP,Female,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),68.1,3512.48,No
5980-ECLYT,Male,1,No,Yes,52,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,97.5,5083.07,Yes
6588-DUWPY,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,103.41,7456.08,Yes
2062-MUJZG,Female,1,No,No,26,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,105.98,2757.99,Yes
7541-ZECWK,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,74.9,5428.63,No
9010-ROLIJ,Female,0,No,No,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),18.0,706.02,No
1953-LQFGN,Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,92.42,2969.69,No
2191-JIRZB,Female,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.23,381.95,No
2540-EFSHP,Female,0,Yes,No,16,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,73.82,1173.34,Yes
2365-TQGYM,Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.95,598.41,No
4141-SLVGJ,Female,0,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.74,92.85,No
6977-SGCMM,Male,0,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),88.1,328.79,No
5849-ZTHIG,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,32.74,2362.59,No
4072-CMYQY,Female,0,Yes,Yes,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),24.67,872.56,No
1823-AFUFZ,Male,0,No,No,30,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,73.34,2192.0,Yes
4627-MMOUP,Male,0,No,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,82.18,2810.81,No
6348-DCSTY,Male,1,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,285.75,No
7190-IQNOA,Female,0,Yes,No,12,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),58.06,694.44,Yes
9053-CPWYK,Female,0,No,No,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.0,877.99,No
2353-PHFLX,Female,0,Yes,Yes,39,No,No phone service,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),50.69,1992.67,No
1667-UHZDZ,Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.65,7363.27,No
4719-ZREID,Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,99.95,2196.94,No
4775-VQIAU,Male,0,No,Yes,72,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),83.86,6007.24,No
8891-MPMNC,Female,0,No,Yes,18,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),69.29,1213.73,No
4324-FRSEO,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.68,5971.67,No
1009-XRMEW,Male,0,Yes,No,11,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,No,Electronic check,91.14,1029.51,No
2015-AVARO,Female,0,No,No,20,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,106.65,2143.2,No
8449-YVQMA,Male,0,No,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.51,1123.35,No
2633-ICAUP,Female,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,24.63,498.45,No
3000-EEFCU,Female,1,No,No,20,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,88.51,1756.25,No
8190-EUEJJ,Female,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.15,515.63,Yes
5178-QUNIN,Male,1,Yes,Yes,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,100.25,1547.13,No
3048-SMMDA,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,83.92,1110.54,No
5976-HBHGZ,Male,0,No,No,32,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),64.29,2018.58,No
1249-BVVCR,Male,0,Yes,No,42,No,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,44.34,1796.68,No
5363-AVLEY,Male,0,Yes,No,15,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),58.26,875.86,No
7544-POWOE,Female,0,No,Yes,22,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.48,465.82,Yes
7996-NBKSG,Female,0,Yes,No,42,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,94.99,3947.37,No
7881-FRBRO,Female,0,No,No,43,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),67.13,2866.48,No
8002-SBTYF,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),89.62,812.11,Yes
8648-XOWJS,Female,0,Yes,No,34,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,88.23,3004.42,No
3180-DJXQJ,Male,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,83.76,495.17,No
3832-TXEBF,Male,0,Yes,No,72,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,67.01,4838.0,Yes
6569-MKKPK,Male,1,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,23.05,355.78,No
2906-OYWWP,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.54,351.31,No
7238-KVPHD,Male,0,No,Yes,31,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,85.22,2627.28,Yes
9472-CCRZS,Male,0,Yes,No,56,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,61.17,3405.03,No
8570-UERJV,Female,0,Yes,No,20,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.97,1817.91,Yes
7981-AEILZ,Male,0,No,No,40,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,44.8,1809.27,Yes
3593-QNZMI,Male,0,Yes,No,29,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),57.87,1637.07,No
7937-YOYVO,Male,0,Yes,No,72,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),101.8,7350.19,Yes
7493-KPQZD,Male,0,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),68.67,1367.34,Yes
2276-TOOXV,Female,0,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,95.48,824.57,No
9717-ZWNXB,Male,0,No,Yes,66,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Mailed check,78.64,5181.23,No
1364-ZNXSG,Female,0,No,No,11,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,55.72,608.12,No
6122-OWNKO,Female,0,No,No,27,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.28,2954.38,Yes
2531-MRZFC,Male,1,No,No,28,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),73.28,2088.68,No
2906-OYWEJ,Male,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,91.67,1466.97,No
2062-YQGVZ,Female,0,Yes,Yes,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,71.71,1485.01,No
1125-LYQMT,Male,0,No,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),31.38,304.51,No
7168-DJCIM,Male,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),92.73,2901.5,No
7371-OVBOH,Male,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,88.6,2304.28,Yes
7891-SJIEF,Female,0,Yes,No,23,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,97.09,2221.83,No
3739-ZBXMF,Male,0,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.66,684.92,No
4812-YAUVU,Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.67,43.14,No
2733-FWPDK,Female,1,Yes,No,9,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,91.27,854.63,No
4517-XWIWC,Female,0,No,No,38,Yes,No,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,50.1,1916.65,No
